id,nome,categoria,bairro,zona,lat,lon,anomalia_c,area_m2,criticidade,obs_pt,obs_en
b001,Adrianópolis,bairro,Adrianópolis,Centro-Sul,-3.0980,-60.0140,3.8,0,3,Verticalização e fachadas envidraçadas concentram calor em Adrianópolis.,High-rise glass facades concentrate heat in Adrianópolis.
b002,Nossa Senhora das Graças,bairro,Nossa Senhora das Graças,Centro-Sul,-3.1010,-60.0190,3.7,0,3,Bairro nobre adensado próximo ao Centro.,Dense affluent neighborhood near downtown.
b003,Parque 10 de Novembro,bairro,Parque 10 de Novembro,Centro-Sul,-3.0950,-60.0050,4.9,0,5,3.º bairro mais quente da cidade segundo Fiocruz.,3rd hottest neighborhood per Fiocruz study.
b004,Chapada,bairro,Chapada,Centro-Sul,-3.0930,-60.0220,5.1,0,5,Vice-recordista de anomalia térmica em Manaus.,Second-highest thermal anomaly in Manaus.
b005,Aleixo,bairro,Aleixo,Centro-Sul,-3.0830,-59.9870,3.5,0,3,Conjuntos Petro e Morada do Sol.,Petro and Morada do Sol housing complexes.
b006,Flores,bairro,Flores,Centro-Sul,-3.0700,-60.0050,3.4,0,3,Av. Tancredo Neves e Av. Recife como hotspots.,Av. Tancredo Neves and Av. Recife as hotspots.
b007,Dom Pedro,bairro,Dom Pedro,Centro-Oeste,-3.0820,-60.0410,5.4,0,5,Bairro mais quente de Manaus segundo medições de superfície.,Hottest neighborhood in Manaus by surface temperature.
b008,Centro,bairro,Centro,Sul,-3.1340,-60.0250,4.3,0,5,Centro histórico com pedras portuguesas e ruas estreitas.,Historic downtown with cobblestone and narrow streets.
b009,Cachoeirinha,bairro,Cachoeirinha,Sul,-3.1200,-60.0030,4.4,0,4,Zona de comércio popular adensado.,Dense popular commercial area.
b010,Praça 14 de Janeiro,bairro,Praça 14 de Janeiro,Sul,-3.1230,-60.0140,3.9,0,4,Próximo ao estádio Sul América e hospitais.,Near Sul América stadium and hospitals.
b011,Educandos,bairro,Educandos,Sul,-3.1430,-60.0200,3.7,0,4,Ribeirinho ao Igarapé do Educandos.,Riverside on Educandos creek.
b012,Crespo,bairro,Crespo,Sul,-3.1390,-60.0140,3.6,0,3,Becos críticos no entorno do igarapé.,Critical alleys around the creek.
b013,Colônia Oliveira Machado,bairro,Colônia Oliveira Machado,Sul,-3.1330,-60.0050,3.5,0,3,Bairro popular adensado.,Densely populated working-class district.
b014,Japiim,bairro,Japiim,Sul,-3.1180,-59.9890,4.2,0,4,41 °C registrados em set/2024.,41 °C recorded in Sep/2024.
b015,São Lázaro,bairro,São Lázaro,Sul,-3.1330,-60.0080,3.4,0,3,Bairro tradicional do Centro-Sul.,Traditional South-central neighborhood.
b016,Petrópolis,bairro,Petrópolis,Sul,-3.1170,-60.0150,3.8,0,4,Adensamento residencial próximo ao Bosque INPA.,Residential density near INPA Bosque.
b017,Morro da Liberdade,bairro,Morro da Liberdade,Sul,-3.1290,-60.0120,3.7,0,3,Topografia íngreme amplifica exposição solar.,Steep topography amplifies solar exposure.
b018,São Francisco,bairro,São Francisco,Sul,-3.1240,-60.0060,3.6,0,3,Eixo da Av. Maués.,Av. Maués corridor.
b019,São Jorge,bairro,São Jorge,Sul,-3.1190,-60.0440,3.2,0,3,Sede do Comando Militar da Amazônia.,Headquarters of Amazon Military Command.
b020,Vila Buriti,bairro,Vila Buriti,Sul,-3.1070,-60.0080,3.2,0,2,Bairro residencial Centro-Sul.,South-central residential.
b021,Distrito Industrial 1,distrito_industrial,Distrito Industrial 1,Sul,-3.1280,-59.9810,4.6,0,5,Polo eletro-eletrônico — galpões com telhado escuro.,Electronics manufacturing hub with dark roof warehouses.
b022,Distrito Industrial 2,distrito_industrial,Distrito Industrial 2,Sul,-3.1390,-59.9650,4.5,0,5,Polo industrial extensão leste.,Industrial hub eastern extension.
b023,Mauazinho,bairro,Mauazinho,Sul,-3.1430,-59.9650,4.5,0,5,42 °C medidos no porto da Ceasa em set/2024.,42 °C at Ceasa port in Sep/2024.
b024,Puraquequara,bairro,Puraquequara,Sul,-3.0560,-59.8780,4.0,0,3,Loteamentos em expansão na zona rural.,Expanding rural-edge subdivisions.
b025,Colônia Antônio Aleixo,bairro,Colônia Antônio Aleixo,Sul,-3.0830,-59.8980,3.8,0,3,Bairro às margens do rio.,Riverside neighborhood.
b026,Alvorada,bairro,Alvorada,Centro-Oeste,-3.0830,-60.0440,4.7,0,5,Conjunto crítico junto ao Dom Pedro e Chapada.,Critical cluster with Dom Pedro and Chapada.
b027,Planalto,bairro,Planalto,Centro-Oeste,-3.0800,-60.0570,4.1,0,4,Eixo Av. das Torres.,Av. das Torres corridor.
b028,Da Paz,bairro,Da Paz,Centro-Oeste,-3.0700,-60.0440,3.8,0,3,Adensamento residencial popular.,Popular residential density.
b029,São Geraldo,bairro,São Geraldo,Centro-Oeste,-3.0810,-60.0510,3.7,0,3,Bairro entre Compensa e Alvorada.,Between Compensa and Alvorada.
b030,Glória,bairro,Glória,Oeste,-3.1060,-60.0380,4.0,0,4,Hotspot histórico do Centro-Oeste.,Historic Center-West hotspot.
b031,Santo Antônio,bairro,Santo Antônio,Oeste,-3.1100,-60.0470,4.2,0,4,Becos com ventilação prejudicada.,Alleys with poor ventilation.
b032,Vila da Prata,bairro,Vila da Prata,Oeste,-3.1110,-60.0560,4.1,0,4,Forte adensamento próximo ao rio Negro.,Dense settlement near Rio Negro.
b033,Compensa,bairro,Compensa,Oeste,-3.0950,-60.0850,3.8,0,4,Compensa 1 / 2 / 3 com perfis térmicos similares.,Compensa 1 / 2 / 3 with similar thermal profiles.
b034,São Raimundo,bairro,São Raimundo,Oeste,-3.1090,-60.0500,3.7,0,3,Sede da Marinha — orla do rio Negro.,Brazilian Navy base — Rio Negro shore.
b035,Nova Esperança,bairro,Nova Esperança,Oeste,-3.0900,-60.0780,3.6,0,3,Expansão recente.,Recent urban expansion.
b036,Lírio do Vale,bairro,Lírio do Vale,Oeste,-3.0800,-60.0700,3.5,0,3,Bairro de transição entre Compensa e Tarumã.,Transitional between Compensa and Tarumã.
b037,Redenção,bairro,Redenção,Oeste,-3.0840,-60.0540,3.4,0,3,Próximo à UPA Redenção.,Near UPA Redenção.
b038,Cidade Nova,bairro,Cidade Nova,Norte,-3.0260,-60.0090,3.8,0,4,Maior bairro do Norte do Brasil em população.,Largest neighborhood in northern Brazil by population.
b039,Monte das Oliveiras,bairro,Monte das Oliveiras,Norte,-3.0150,-60.0060,3.7,0,3,Expansão residencial recente.,Recent residential expansion.
b040,Santa Etelvina,bairro,Santa Etelvina,Norte,-2.9990,-60.0140,3.6,0,3,Loteamentos próximos à Reserva Ducke.,Subdivisions near Ducke Reserve.
b041,Nova Cidade,bairro,Nova Cidade,Norte,-3.0050,-59.9990,3.6,0,3,Conjunto habitacional grande.,Large housing complex.
b042,Colônia Terra Nova,bairro,Colônia Terra Nova,Norte,-3.0140,-60.0210,3.5,0,3,Comunidade tradicional preservada.,Preserved traditional community.
b043,Cidade de Deus,bairro,Cidade de Deus,Norte,-3.0490,-60.0150,3.9,0,4,Adensamento popular acelerado.,Rapid popular densification.
b044,Lago Azul,bairro,Lago Azul,Norte,-3.0430,-60.0110,3.4,0,2,Bairro com lago natural.,Neighborhood with natural lake.
b045,Manôa,bairro,Manôa,Norte,-3.0270,-60.0240,3.6,0,3,Eixo Av. Noel Nutels.,Av. Noel Nutels corridor.
b046,Novo Israel,bairro,Novo Israel,Norte,-3.0090,-60.0270,3.4,0,2,Comunidade religiosa de origem.,Religious-origin community.
b047,Amazonino Mendes,bairro,Amazonino Mendes,Norte,-2.9870,-59.9970,3.7,0,3,Loteamento popular.,Popular subdivision.
b048,Riacho Doce,bairro,Riacho Doce,Norte,-3.0040,-59.9870,3.5,0,3,Riacho Doce 1 / 2 / 3.,Riacho Doce 1 / 2 / 3.
b049,Viver Melhor,bairro,Viver Melhor,Norte,-2.9920,-60.0190,3.8,0,4,Conjunto habitacional Minha Casa Minha Vida.,Government housing complex.
b050,Jorge Teixeira,bairro,Jorge Teixeira,Leste,-3.0280,-59.9530,4.3,0,5,Maior em população. Av. Autaz Mirim.,Largest by population. Av. Autaz Mirim.
